Message_0_Page_0 我找到了一个位置，侦察起来非常简单，你有兴趣去试下么？
Message_1_Page_0 我又找到了另一个位置，你看看，可能会有点麻烦。感兴趣吗？
Message_2_Page_0 不知道你还想不想来，我又找到了一个地方给你去。
Message_3_Page_0 这个位置看起来很不错，不过根据之前的报告该地区有辐射，要干么？
Message_4_Page_0 我想是时候去检查下原俄罗斯FoB了。事先声明：<pause>这里有非常严重的辐射，非常危险。你敢去么？
Message_5_Page_0 还有要报告的吗？

Response_0 我会去看看的
Response_1 下次吧
Response_2 我侦察了飞机场！
Response_3 我会去看看的
Response_4 下次吧
Response_5 我侦察了坦克工厂！
Response_6 我会去看看的
Response_7 下次吧
Response_8 我侦察了军事基地！
Response_9 我会去看看的
Response_10 下次吧
Response_11 我侦察了导弹筒仓！
Response_12 我会去看看的
Response_13 下次吧
Response_14 我侦察了石油钻机！
Response_15 你在干嘛？
Response_16 没有报告了
