AzimuthSliderLabelText 地图方向
BiasSliderLabelText 光照角度
FadeSliderLabelText 阳光色衰
Sea_Level_Slider_Label 海平面高度
Snow_Level_Slider_Label 下雪强度
Rain_Freq_Label 降雨频率倍数
Rain_Dur_Label 降雨时长倍数
Snow_Freq_Label 降雪频率倍数
Snow_Dur_Label 降雪时长倍数
Storm 风暴
Storm_Tooltip 切换 有/无 风暴
Rain_Toggle_Label 降水强度
Blizzard 暴雪
Blizzard_Tooltip 切换 有/无 暴雪
Snow_Toggle_Label 切换 有/无 降雪
MoonSliderLabelText 月亮圆度
TimeSliderLabelText 时间

Time_0 黎明
Time_1 中午
Time_2 傍晚
Time_3 午夜

Color_0 太阳
Color_1 海洋
Color_2 烟雾
Color_3 大气层
Color_4 中间层
Color_5 对流层
Color_6 黎明地面主反射光
Color_7 黎明地面副反射光
Color_8 黎明地面弱反射光
Color_9 云
Color_10 光线
Color_11 粒子照明

Single_0 光线强度
Single_1 烟雾浓度
Single_2 云彩密度
Single_3 阴影强度
Single_4 光线
