TableNameFieldLabelText 动物表
AddTableButtonText 添加
AddTableButtonTooltip 创建动物表
RemoveTableButtonText 删除
RemoveTableButtonTooltip 移除动物表

SelectionBoxLabelText 选择

TableIDFieldLabelText 生成ID

TierNameFieldLabelText 层
AddTierButtonText 添加
AddTierButtonTooltip 创建层
RemoveTierButtonText 删除
RemoveTierButtonTooltip 移除层

AnimalIDFieldLabelText 动物ID
AddAnimalButtonText 添加
AddAnimalButtonTooltip 创建动物
RemoveAnimalButtonText 删除
RemoveAnimalButtonTooltip 移除动物

RadiusSliderLabelText 半径

AddButtonText 添加 [{0}]
AddButtonTooltip 创建刷新点

RemoveButtonText 删除 [{0}]
RemoveButtonTooltip 移除刷新点
