Zoom_In_Button 放大
Zoom_In_Button_Tooltip 放大地图

Zoom_Out_Button 缩小
Zoom_Out_Button_Tooltip 缩小地图

Center_Button 定位
Center_Button_Tooltip 把角色位置置于地图中央

Chart 路线地图
Satellite 卫星地图

Quests 任务： {0}
Quests_Tooltip 浏览任务列表
Groups 组
Groups_Tooltip 查看组列表
Players 玩家： {0}/{1}
Players_Tooltip 浏览玩家列表

Group_Members 成员: {0}/{1}
Group_Rename 重命名
Group_Rename_Tooltip 提交新名称
Group_Leave 离开
Group_Leave_Tooltip 退出该组
Group_Delete 解散
Group_Delete_Tooltip 解散群组，移除所有成员。
Group_Delete_Confirm 确认解散
Group_Delete_Confirm_Tooltip 解散群组，移除所有成员。
Group_Delete_Deny 取消
Group_Delete_Deny_Tooltip 保留群组
Group_Join 加入
Group_Join_Tooltip 接受邀请
Group_Ignore 忽略
Group_Ignore_Tooltip 谢绝邀请
Group_Create 组建新组
Group_Create_Tooltip 成为组所有者
Group_Promote 提升
Group_Promote_Tooltip 等级++
Group_Demote 贬职
Group_Demote_Tooltip 等级--

Radio_Frequency_Label 无线电频道：
Radio_Frequency_Tune 调节
Radio_Frequency_Tune_Tooltip 调频
Radio_Frequency_Reset 重置
Radio_Frequency_Reset_Tooltip 默认频率

Group_Rank_Member 组成员
Group_Rank_Admin 版主
Group_Rank_Owner 组所有者

Streamer 隐藏玩家的串流模式
Mute_On 静音
Mute_Off 解除静音
Mute_Tooltip 静音/解除静音
Vote_Kick 踢出
Vote_Kick_Tooltip 投票踢出玩家
Group_Kick 踢出
Group_Kick_Tooltip 踢出该成员
Group_Invite 邀请
Group_Invite_Tooltip 发出进组邀请
Spy 监察
Spy_Tooltip 截屏该玩家

No_Chart 没有地图
No_GPS 没有GPS

Rep {0} [{1}]
Rep_Neutral 中立
Rep_Vigilante 自治团
Rep_Constable 警察
Rep_Deputy 代表
Rep_Sheriff 警长
Rep_Paragon 模范
Rep_Thug 暴徒
Rep_Outlaw 逃犯
Rep_Gangster 帮派
Rep_Bandit 盗贼
Rep_Villain 平民
